x,y,t
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.642712,1.02628,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.637679,1.03947,1.71017e+09
0.644298,1.03933,1.71017e+09
0.644298,1.03933,1.71017e+09
0.644298,1.03933,1.71017e+09
0.644298,1.03933,1.71017e+09
0.644298,1.03933,1.71017e+09
