x,y,t
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
0.630132,0.991837,1.71017e+09
