x,y,t
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99794,1.53172,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.99103,1.53065,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98751,1.53765,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98605,1.53932,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98451,1.53224,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.98272,1.52552,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
2.97624,1.52408,1.71017e+09
